mmzhBwAAQBAJ, Гарри Поттер и философский камень - Harry Potter and the Philosopher's Stone, Дж. К. Роулинг
l9wHAQAAMAAJ, Гарри Поттер и кубок огня, J. K. Rowling
eNsHAQAAMAAJ, Гарри Поттер и тайная комната, J. K. Rowling
ZIvfBQAAQBAJ, Garre potter dari smerti, J.K.Rowling
VNJnTUZ97HQC, Гарри Поттер в церкви: между анафемой и улыбкой, 
_GaYDQAAQBAJ, Как работает экономика: Что Rolling Stones, Гарри Поттер и большой спорт могут рассказать о свободном рынке, Д.Тамни
4lrHNwAACAAJ, Гарри Поттер: волшебство бренда, Стивен Браун
aG0KBgAAQBAJ, Garre potter Гарри Поттер и узник Азкабана, 
hPnEsgEACAAJ, Гарри Поттер и философский камень, Джоан К. Ролинг
M6rFDQAAQBAJ, Джоан Роулинг. Всё о Гарри Поттере, жизни и любви, Софья Бенуа
